id;name;gender;origin;group
1;Aada;feminine;27;49
2;Aaliyah;feminine;33;173
3;Aalt;feminine;22;39
4;Aaltje;feminine;22;39
5;Aamina;feminine;4;1
6;Aamu;feminine;27;2
7;Aani;feminine;13;201
8;Aaren;feminine;24;91
9;Aata;feminine;27;34
10;Aatu;feminine;27;34
11;Aatukka;feminine;27;34
12;Abaegayle;feminine;24;12
13;Abagael;feminine;24;12
14;Abagail;feminine;24;12
15;Abagale;feminine;24;12
16;Abaigael;feminine;24;12
17;Abaigeal;feminine;24;12
18;Abarrane;feminine;7;23
19;Abbey;feminine;24;12
20;Abbey;feminine;39;12
21;Abbi;feminine;24;12
22;Abbie;feminine;24;12
23;Abbie;feminine;39;12
24;Abbigael;feminine;24;12
25;Abbigail;feminine;24;12
26;Abbigale;feminine;24;12
27;Abbigayle;feminine;24;12
28;Abby;feminine;24;12
29;Abby;feminine;39;12
30;Abbye;feminine;24;12
31;Abbygael;feminine;24;12
32;Abbygail;feminine;24;12
33;Abbygale;feminine;24;12
34;Abedabun;feminine;16;3
35;Abegail;feminine;24;12
36;Abegayle;feminine;24;12
37;Abelia;feminine;44;4
38;Abelie;feminine;41;4
39;Abella;feminine;71;5
40;Abelle;feminine;28;5
41;Abellona;feminine;21;180
42;Abelone;feminine;21;180
43;Abena;feminine;1;6
44;Abeni;feminine;77;7
45;Abequa;feminine;16;8
46;Abeque;feminine;16;8
47;Abha;feminine;34;9
48;Abhilasha;feminine;34;10
49;Abi;feminine;24;16
50;Abia;unisex;24;17
51;Abiageal;feminine;39;12
52;Abiah;unisex;24;17
53;Abichail;unisex;33;18
54;Abida;feminine;4;11
55;Abidah;feminine;4;11
56;Abigael;feminine;21;12
57;Abigael;feminine;55;12
58;Abigail;feminine;24;14
59;Abigail;feminine;24;200
60;Abigale;feminine;24;12
61;Abigall;feminine;24;12
62;Abigayil;feminine;24;14
63;Abigayle;feminine;24;12
64;Abigil;feminine;24;12
65;Abihail;unisex;24;18
66;Abihayil;unisex;33;18
67;Abijah;unisex;24;17
68;Abilene;feminine;24;15
69;Abishag;feminine;24;19
70;Abital;feminine;24;20
71;Abiy;feminine;33;16
72;Abiyah;unisex;33;17
73;Abiyhayil;unisex;33;18
74;Abiyshag;feminine;24;19
75;Abiytal;feminine;33;20
76;Abla;feminine;4;21
77;Ablah;feminine;4;21
78;Aboyo;feminine;48;22
79;Abra;feminine;33;23
80;Abrahamit;feminine;33;23
81;Abrahana;feminine;22;23
82;Abrianna;feminine;24;23
83;Abungu;feminine;48;24
84;Abuto;feminine;48;25
85;Acacallis;feminine;44;153
86;Acacia;feminine;24;26
87;Acantha;feminine;44;157
88;Acca;feminine;44;27
89;Accalia;feminine;44;27
90;Aceline;feminine;28;28
91;Acenath;feminine;23;29
92;Achcauhtli;unisex;52;30
93;Acheflour;feminine;24;31
94;Achieng;feminine;48;212
95;Achillea;feminine;44;32
96;Achima;feminine;30;33
97;Achimah;feminine;30;33
98;Acima;feminine;38;33
99;Acimah;feminine;38;33
100;Acquilina;feminine;44;183
101;Ada;feminine;30;37
102;Ada;feminine;24;39
103;Ada;feminine;33;36
104;Adaeze;feminine;37;35
105;Adah;feminine;33;36
106;Adala;feminine;30;37
107;Aðalbjörg;feminine;36;38
108;Adaleiz;feminine;30;39
109;Adalhaid;feminine;30;39
110;Adalheid;feminine;30;39
111;Adalheidis;feminine;44;39
112;Adalina;feminine;41;50
113;Adalina;feminine;71;50
114;Adalinda;feminine;30;40
115;Adaline;feminine;24;50
116;Adallina;feminine;30;37
117;Adalmar;masculine;30;41
118;Adalwolfa;feminine;30;42
119;Adamina;feminine;65;43
120;Adamine;feminine;64;43
121;Adaminna;feminine;65;43
122;Adanna;feminine;37;44
123;Adannaya;feminine;37;45
124;Adara;feminine;4;56
125;Adara;feminine;33;37
126;Addie;feminine;24;39
127;Addie;unisex;33;58
128;Adi;unisex;33;58
129;Addie;unisex;33;58
130;Addison;unisex;24;46
131;Addy;feminine;24;39
132;Adebowale;unisex;77;47
133;Adede;feminine;48;48
134;Adela;feminine;44;37
135;Adéla;feminine;20;37
136;Adelaida;feminine;71;39
137;Adelaïda;feminine;62;39
138;Adelaide;feminine;24;39
139;Adélaïde;feminine;28;39
140;Adelais;feminine;28;39
141;Adelajda;feminine;58;39
142;Adele;feminine;24;39
143;Adéle;feminine;20;37
144;Adèle;feminine;28;39
145;Adelfa;feminine;31;52
146;Adelheid;feminine;30;39
147;Adelheit;feminine;30;39
148;Adelheyd;feminine;22;39
149;Adelia;feminine;44;37
150;Adelice;feminine;24;39
151;Adelicia;feminine;24;39
152;Adélie;feminine;28;39
153;Adelina;feminine;41;50
154;Adelina;feminine;71;50
155;Adelina;feminine;64;37
156;Adelind;feminine;30;40
157;Adelinda;feminine;30;40
158;Adelinde;feminine;30;40
159;Adeline;feminine;28;50
160;Adelis;feminine;55;39
161;Adelita;feminine;71;37
162;Adelle;feminine;28;50
163;Adelmar;masculine;30;41
164;Adelmira;feminine;71;51
165;Adelonda;feminine;30;40
166;Adelpha;feminine;31;52
167;Adelphe;feminine;28;52
168;Adelphia;feminine;44;52
169;Adelphie;feminine;24;52
170;Adeltrudis;feminine;30;81
171;Adelyna;feminine;24;50
172;Adena;feminine;24;53
173;Adenah;feminine;24;53
174;Adene;feminine;24;53
175;Adeola;feminine;53;54
176;Aderyn;feminine;75;55
177;Adhara;feminine;4;56
178;Adhiambo;feminine;48;213
179;Adhoch;feminine;48;57
180;Adi;unisex;33;58
181;Adilene;feminine;28;50
182;Adina;unisex;24;64
183;Adine;feminine;64;64
184;Adira;feminine;33;60
185;Adison;unisex;24;46
186;Adisson;unisex;24;46
187;Aditi;feminine;34;61
188;Aditi;feminine;34;61
189;Adiva;feminine;33;63
190;Adiyna;unisex;33;64
191;Adjoa;feminine;1;80
192;Admiranda;feminine;24;211
193;Adolpha;feminine;44;65
194;Adona;feminine;41;68
195;Adoncia;feminine;71;66
196;Adongo;feminine;48;67
197;Adonia;feminine;31;68
198;Adora;feminine;71;70
199;Adorabella;feminine;44;69
200;Adorabelle;feminine;44;69
201;Adoracion;feminine;71;70
202;Adoria;feminine;71;70
203;Adorinda;feminine;25;71
204;Adrastea;feminine;44;72
205;Adrasteia;feminine;31;72
206;Adrastia;feminine;44;72
207;Adrastea;feminine;44;72
208;Adrasteia;feminine;31;72
209;Adrastia;feminine;44;72
210;Adrea;feminine;24;74
211;Adreana;feminine;44;74
212;Adreea;feminine;24;74
213;Adria;feminine;24;74
214;Adriana;feminine;44;74
215;Adrianah;feminine;24;74
216;Adriane;feminine;24;74
217;Adrianna;feminine;58;74
218;Adriannah;feminine;24;74
219;Adrianne;feminine;24;74
220;Adrie;feminine;24;74
221;Adriena;feminine;69;74
222;Adrienn;feminine;35;74
223;Adrienne;feminine;28;74
224;Adrijana;feminine;67;74
225;Adrijana;feminine;70;74
226;Adsila;feminine;14;75
227;Adsiltia;feminine;44;76
228;Aduor;feminine;48;77
229;Adva;feminine;5;78
230;Adwar;feminine;48;79
231;Adwoa;feminine;1;80
232;Æðelþryð;feminine;3;81
233;Æglæca;unisex;3;115
234;Æglæca;unisex;3;115
235;Aegle;feminine;44;133
236;Ælfgifu;feminine;3;82
237;Ælflæd;feminine;3;83
238;Ælfled;feminine;3;83
239;Ælfþryð;feminine;3;84
240;Ælfthryth;feminine;3;85
241;Aelgifu;feminine;3;82
242;Aella;feminine;31;86
243;Aella;feminine;44;86
244;Aellae;feminine;44;86
245;Aellai;feminine;31;86
246;Aello;feminine;44;86
247;Aellô;feminine;31;86
248;Æmilia;feminine;44;87
249;Aeron;unisex;75;121
250;Aerona;feminine;75;121
251;Aeronwen;feminine;75;88
252;Aeronwy;feminine;75;89
253;Aeronwy;feminine;75;89
254;Aeryn;feminine;24;193
255;Aerynn;feminine;24;193
256;Aesha;feminine;4;146
257;Aeshah;feminine;4;146
258;Æthel;feminine;3;92
259;Æthelflæd;feminine;3;93
260;Aethelfled;feminine;3;93
261;Æthelfleda;feminine;3;93
262;Æthelgyth;feminine;3;94
263;Æthelinda;feminine;3;95
264;Æthelthryth;feminine;3;81
265;Æthelu;feminine;3;92
266;Afaf;feminine;4;96
267;Afanasiia;feminine;62;97
268;Afanen;feminine;75;98
269;Aferdita;feminine;2;99
270;Affra;unisex;33;101
271;Affra;unisex;33;101
272;Afia;feminine;1;104
273;Afon;unisex;75;100
274;Afra;unisex;33;101
275;Afra;unisex;33;101
276;Afrikaisi;feminine;23;103
277;Afua;feminine;1;104
278;Agace;feminine;28;109
279;Agafia;feminine;62;109
280;Agafiia;feminine;62;109
281;Agafya;feminine;62;109
282;Agak;feminine;48;105
283;Agana;feminine;13;106
284;Agape;feminine;31;107
285;Agas;feminine;24;109
286;Agata;feminine;30;109
287;Agata;feminine;72;109
288;Agata;feminine;70;109
289;Agata;feminine;41;109
290;Agata;feminine;71;109
291;Agáta;feminine;20;109
292;Agate;feminine;28;108
293;Agatha;feminine;44;109
294;Agathe;feminine;31;109
295;Agaue;feminine;31;110
296;Agave;feminine;31;110
297;Agda;feminine;72;109
298;Aggi;feminine;24;202
299;Aggi;feminine;24;109
300;Aggie;feminine;24;202
301;Aggie;feminine;44;109
302;Aggy;feminine;24;202
303;Aggy;feminine;24;109
304;Aggye;feminine;24;202
305;Aggye;feminine;24;109
306;Aghadreena;feminine;39;111
307;Aghamora;feminine;39;112
308;Aghaveagh;feminine;39;113
309;Aghavni;feminine;6;114
310;Aghna;feminine;39;202
311;Ági;feminine;35;109
312;Ági;feminine;35;202
313;Aglaë;feminine;28;117
314;Aglaea;feminine;44;117
315;Aglæca;feminine;3;115
316;Aglæca;feminine;3;115
317;Aglaia;feminine;31;117
318;Aglaie;feminine;31;117
319;Aglaii;feminine;62;117
320;Aglaja;feminine;30;117
321;Aglaya;feminine;62;117
322;Aglea;feminine;44;117
323;Agna;feminine;30;202
324;Agné;feminine;46;202
325;Agnes;feminine;24;202
326;Agnès;feminine;28;202
327;Ágnes;feminine;35;202
328;Agnese;feminine;41;202
329;Agnese;feminine;45;202
330;Agnessa;feminine;62;202
331;Agnesse;feminine;62;202
332;Agneta;feminine;21;202
333;Agneta;feminine;72;202
334;Agneth;feminine;30;202
335;Agnetha;feminine;64;202
336;Agnethe;feminine;30;202
337;Agnetta;feminine;72;202
338;Agnieszka;feminine;58;202
339;Agnus;feminine;24;202
340;Agostina;feminine;41;118
341;Agot;feminine;48;119
342;Ågot;feminine;55;109
343;Agota;feminine;71;109
344;Ágota;feminine;35;109
345;Agrafena;feminine;62;120
346;Agrafina;feminine;62;120
347;Agripena;feminine;62;120
348;Agripina;feminine;62;120
349;Agrippa;feminine;62;120
350;Agrippina;feminine;62;120
351;Agrippine;feminine;62;120
352;Agrona;feminine;12;121
353;Agueda;feminine;71;109
354;A-Gun;feminine;73;122
355;Agurne;feminine;7;123
356;Agwang;feminine;48;124
357;Ahava;feminine;33;125
358;Ahsan;unisex;34;192
359;Ahuiliztli;unisex;52;126
360;Ahuva;feminine;33;127
361;Ai;feminine;15;128
362;Ai;feminine;15;128
363;Ai;feminine;43;128
364;Ai;feminine;43;128
365;Aiah;unisex;24;186
366;Aibhilín;feminine;29;185
367;Aida;feminine;4;132
368;Aidah;feminine;4;132
369;A'Idah;feminine;4;132
370;Aideen;feminine;24;197
371;Aidith;feminine;24;190
372;Aiesha;feminine;4;146
373;Aigla;feminine;44;133
374;Aigle;feminine;31;133
375;Aigneis;feminine;20;202
376;Aignéis;feminine;40;202
377;Aika;feminine;43;134
378;Aikaterina;feminine;31;135
379;Aikaterine;feminine;31;135
380;Aiko;feminine;43;136
381;Aila;feminine;24;185
382;Ailbhe;unisex;40;137
383;Aileas;feminine;66;39
384;Ailee;feminine;24;185
385;Aileen;feminine;65;185
386;Ailen;feminine;50;187
387;Ailen;feminine;50;187
388;Ailene;feminine;24;185
389;Ailey;feminine;24;185
390;Ailie;feminine;24;185
391;Ailish;feminine;40;39
392;Ailith;feminine;24;94
393;Ailith;feminine;66;174
394;Ailsa;feminine;24;196
395;Ailse;feminine;24;196
396;Ailsie;feminine;24;196
397;Aimée;feminine;28;138
398;Aimey;feminine;28;138
399;Aimi;feminine;43;139
400;Aimie;feminine;28;138
401;Aina;feminine;53;140
402;Aina;feminine;71;189
403;Aina;feminine;27;142
404;Áine;feminine;39;141
405;Aineki;feminine;32;202
406;Aingeal;feminine;40;177
407;Aino;feminine;27;142
408;Ainsley;unisex;65;143
409;Ainslie;unisex;65;143
410;Aintza;feminine;7;144
411;Aintzane;feminine;7;144
412;Airla;feminine;24;145
413;Airlea;feminine;24;145
414;Airlia;feminine;24;145
415;Aisha;feminine;4;146
416;Aishah;feminine;4;146
417;Aishe;feminine;60;146
418;Aishwarya;feminine;34;147
419;Aisia;feminine;4;146
420;Aisiah;feminine;4;146
421;Aislin;feminine;40;148
422;Aisling;feminine;40;148
423;Aislinn;feminine;40;148
424;Aithbhreac;feminine;66;149
425;Aithne;feminine;40;194
426;Aithnea;feminine;40;194
427;Ajambo;feminine;48;150
428;Ajiambo;feminine;63;151
429;Ajuoga;feminine;48;152
430;Akakallis;feminine;31;153
431;Akana;feminine;23;154
432;Akane;feminine;43;155
433;Akanksha;unisex;34;156
434;Akantha;feminine;31;157
435;Akela;feminine;32;92
436;Akeldama;feminine;31;158
437;Akello;feminine;48;159
438;Akemi;feminine;43;160
439;Akeneki;feminine;32;202
