id;origin
0;not found
1;Akan
2;Albanian
3;Anglo-Saxon
4;Arabic
5;Aramaic
6;Armenian
7;Basque
8;Bohemian
9;Breton
10;Bulgarian
11;Catalan
12;Celtic
13;Chamorro
14;Cherokee
15;Chinese
16;Chippewa
17;Cornish
18;Corsican
19;Croatian
20;Czech
21;Danish
22;Dutch
23;Egyptian
24;English
25;Esperanto
26;Estonian
27;Finnish
28;French
29;Gaelic
30;German
31;Greek
32;Hawaiian
33;Hebrew
34;Hindi
35;Hungarian
36;Icelandic
37;Igbo
38;Illyrian
39;Irish
40;Irish Gaelic
41;Italian
42;Italian and Spanish
43;Japanese
44;Latin
45;Latvian
46;Lithuanian
47;German
48;Luo
49;Manx
50;Mapuche
51;Miwok
52;Nahuatl
53;Nigerian
54;Norse
55;Norwegian
56;Persian
57;Phoenician
58;Polish
59;Portuguese
60;Romani
61;Romanian
62;Russian
63;Samia
64;Scandinavian
65;Scottish
66;Scottish Gaelic
67;Serbian
68;Slavic
69;Slovak
70;Slovene
71;Spanish
72;Swedish
73;Thai
74;Ukrainian
75;Welsh
76;Yiddish
77;Yoruba
